trace_number,sia_indicator,sia_endogeneous,sia_immobile,sia_excited,fast_indicator_tc_mean,fast_indicator_tc_std,slow_indicator_tc_mean,slow_indicator_tc_std,fast_indicator_error_mean,slow_indicator_error_mean,fast_endogeneous_tc_mean,fast_endogeneous_tc_std,slow_endogeneous_tc_mean,slow_endogeneous_tc_std,fast_endogeneous_error_mean,slow_endogeneous_error_mean,fast_immobile_tc_mean,fast_immobile_tc_std,slow_immobile_tc_mean,slow_immobile_tc_std,fast_immobile_error_mean,slow_immobile_error_mean,excited_growth_tc_mean,excited_growth_tc_std,excited_decay_tc_mean,excited_growth_tc_std,excited_growth_error_mean,excited_decay_error_mean
10,765677.6238218829,1585.0779544988409,58791.09292102887,408450.60506645293,1.9604175630865703,0.003114023482405101,0.01821340163884985,0.00019703274263820612,0.02617563284398037,0.000864293806686309,1.9541414188646862,0.0031220287980069446,0.01916394538121676,0.00019923225950581997,0.02628676387304474,0.0009037131372530749,1.954534388396139,0.00312163440216436,0.01895825950954584,0.0001991181458959832,0.026278281345248,0.0009027564635940395,0.001304563501273537,1.562574125636013,0.0034283256880733378,1.562574125636013,8.688955622587844e-5,0.0001268781512228932
11,669048.6897923953,1382.9637567789641,51301.57961360101,451241.21689005353,1.4853990681415623,0.004131457414781972,0.004829217747734255,3.840809482689769e-5,0.016189963479804732,0.00014370677901455166,1.4838500988390249,0.004139255795246822,0.0049158777245518264,3.8639209630820305e-5,0.016198889352436838,0.00014410523461636987,1.4838205970028169,0.004139058388231478,0.004908583585422543,3.863136082165393e-5,0.016196249335751044,0.00014416174631329655,0.004151241704056616,0.006613970138239845,3.8571653406640555e-5,0.006613970138239845,4.322916314398944e-6,1.8600111517363175e-8
12,676340.0315131623,1398.1872250134832,51858.27724456572,172925.13047133145,0.007163667855775588,0.00029299643837149363,4.558263212233067e-5,3.6728783697590714e-5,1.3315920127447075e-5,4.044720789236534e-7,0.007187955504525592,0.0003073150830212053,4.527533242923618e-5,3.621132187301299e-5,1.3365767998924938e-5,4.028337237139699e-7,0.007186224717790157,0.0003063214381689701,4.531903208935706e-5,3.628667036444174e-5,1.336377491616957e-5,4.027644240216973e-7,0.004444497249586876,0.0028924552239620767,4.3621429881060376e-5,0.0028924552239620767,5.328829196141872e-6,4.9776756650627267e-8
13,669135.9701023014,1383.0690748891732,51304.51127878699,423408.88914703485,1.491967834035841,0.004180019102957853,0.005267254897110162,1.6540136934187087e-5,0.019689566120370032,0.00012319020892328974,1.490094953540017,0.004187814813480103,0.005291721814681404,1.6626300987748586e-5,0.01969166203402634,0.00012303526169713636,1.490107651391571,0.004187589142236949,0.005283482471088048,1.6630240545621902e-5,0.019688912725918856,0.0001228920892544994,0.004199084092147439,0.006767676176975303,1.6619907193018228e-5,0.006767676176975303,4.527944734824502e-6,4.0837232410717447e-8
14,680294.5994947999,1406.4861397217064,52174.44133680122,389236.64128751593,1.5681959293134666,0.003814580056096522,0.005687041907866064,0.00010271086757629272,0.02264103348150473,0.0004039432373436498,1.5653952629342736,0.003822005119716249,0.005857185102504362,0.000103425450653726,0.022650893315020865,0.0004045938881794555,1.5654739898146204,0.0038217171224524896,0.005853565073616202,0.00010339229600529969,0.022647372418690442,0.0004046142836624097,0.0038255322081629335,0.009013130818004077,0.00010265627194281877,0.009013130818004077,3.137959645941079e-6,1.1337201478335588e-7
15,725213.5626245884,1501.7366023973066,55706.25141093168,417315.0763070634,1.4742791287095562,0.0025625664459833974,NaN,NaN,0.009378891217270676,NaN,1.4712875034128914,0.002569747512913241,NaN,NaN,0.009467204566608047,NaN,1.4713927910231042,0.0025694255495982746,NaN,NaN,0.009462853724070734,NaN,0.00019007744811815137,NaN,NaN,NaN,0.0004370282127431324,NaN
16,711777.9684793693,1473.0006818432266,54619.619927635526,376514.912259029,2.0937967421601673,0.002302747494583276,0.01806436356066766,0.0001221232920936648,0.015314191697026133,0.000747681824944634,2.0899284961349895,0.0023087650043792426,0.020484930455534237,0.0001240384249569494,0.015451901267461796,0.0008245707936172226,2.090147568312004,0.0023084977247256437,0.020088280887005046,0.00012398144837805723,0.015444772606314933,0.000826180954791922,0.0013157200795449074,1.4325102130303424,0.0015937708700963038,1.4325102130303424,0.00014086295122490666,0.00024279576962747413
17,780311.5028763848,1617.4803067768582,59983.051940382684,351274.5069511543,1.6528128031086535,0.0020517900142934913,1.0999323497710685,0.0006141564077369277,0.017675193726469418,0.011766384047452044,2.2232528172359833,0.002418800922497132,0.05576292619080008,0.0001155803325003039,0.023835578763724063,0.000765694766273784,2.223663110326143,0.002418368581977092,0.056094039665319034,0.0001154279394783134,0.023815281304717745,0.0007616524955110306,0.0008514791983334435,56103.231011833755,0.0019428672470607033,56103.231011833755,0.0002098721347022651,0.0002469184337132346
18,665949.4965967487,1376.4584561638947,51064.079573367635,480557.32039127813,2.1824344331534484,0.0033998386355183446,0.003994316307431542,3.2183969454558013e-6,0.016642183641351564,4.9894576210147874e-5,2.1808352404450577,0.0034063020836751787,0.003997873998495279,3.2301834113953455e-6,0.016680665255500826,4.965717228712265e-5,2.1807707629423287,0.003406144545750318,0.003995130749586594,3.2294980143358244e-6,0.016675096686937514,4.962780206799739e-5,-0.0001668104067109816,1.4421561840963015,0.002388296487565341,1.4421561840963015,0.00011343201494778236,7.403934138257058e-5
19,670095.6330316792,1385.0921526795448,51378.65087215128,347059.1922701969,1.7270916194559434,0.002930696388387196,0.007498338156823131,8.288654028427429e-6,0.01845396948584607,0.00026438019093682824,1.724626180715494,0.0029363843531305446,0.00751127608288762,8.330036227256754e-6,0.018501862070932865,0.0002637240843764709,1.7246706570611847,0.0029361230213771246,0.0074880421306351965,8.327075092805282e-6,0.018496788910474838,0.0002636959582328442,0.0029349416411930916,0.008437751497780725,8.151259774705463e-6,0.008437751497780725,1.5434901162031482e-6,3.196892743579913e-8
20,665420.5204738153,1375.3499480236817,51023.40792514608,554625.5988088384,2.100396406789746,0.003124767373683151,0.0016724675512090898,9.819922901921657e-6,0.007911810195479612,6.039858122222787e-5,2.0994834723349602,0.0031308670575394657,0.0016763071788857733,9.893147235325472e-6,0.007939714153365947,6.051487832436484e-5,2.099339108687329,0.003130782115663773,0.0016832739245204078,9.891512823669322e-6,0.007937009417676581,6.049401149931611e-5,-0.0020778924147528736,2.4969947570096343e-5,0.00015702008472872597,2.4969947570096343e-5,0.00020595996283337192,3.126705728987682e-6
